code,name,registred,envelops,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
538043,Babice,732,533,531,0,1,6,0,79,1,0,56,20,5,80,17,0
538051,Bašť,1409,966,961,0,0,40,1,212,4,3,61,22,17,139,39,4
534684,Borek,242,170,170,0,0,5,1,27,0,0,15,2,1,24,11,1
538086,Bořanovice,627,440,440,0,0,36,1,110,5,0,18,6,4,63,23,1
538094,Brandýs nad Labem-Stará Boleslav,13374,8625,8580,11,9,462,10,1326,66,5,581,179,113,1246,488,26
538108,Brázdim,533,374,373,0,0,26,0,49,4,1,23,5,4,64,15,0
564869,Březí,375,241,241,0,0,6,1,37,3,0,14,6,3,33,8,1
538132,Čelákovice,9011,6016,5977,10,3,337,5,1044,42,5,326,86,82,903,359,56
533254,Černé Voděrady,288,195,193,0,0,14,0,19,2,0,13,5,4,28,11,4
538141,Čestlice,497,360,360,0,0,9,0,58,6,0,23,7,6,49,17,1
565008,Dobročovice,209,148,147,1,0,5,0,29,1,1,17,8,0,14,7,0
538167,Dobřejovice,686,520,506,1,1,27,0,92,5,0,36,12,9,69,21,0
564885,Doubek,328,236,235,0,0,12,0,53,0,0,25,7,7,32,10,1
538191,Dřevčice,560,364,362,0,0,14,0,59,5,0,24,4,3,54,23,1
534781,Dřísy,732,471,469,0,0,17,1,78,0,0,32,7,8,50,23,1
564915,Herink,346,262,259,0,0,3,0,60,0,0,21,9,6,44,3,0
565989,Hlavenec,266,198,197,1,0,7,0,30,7,1,8,2,2,31,8,0
538221,Horoušany,934,676,669,3,1,27,1,87,6,1,44,10,10,130,37,1
538230,Hovorčovice,1669,1230,1221,0,0,55,5,268,7,0,96,28,14,142,37,0
538248,Hrusice,601,375,374,1,0,10,0,60,8,0,43,5,5,63,16,0
538256,Husinec,1054,769,762,1,2,29,1,119,3,1,57,12,10,144,32,0
538264,Jenštejn,665,479,475,1,0,24,0,91,2,0,46,8,16,75,19,0
533378,Jevany,577,410,405,0,1,26,0,85,4,0,30,6,3,52,27,5
538272,Jirny,1918,1390,1383,0,0,56,2,272,11,3,103,23,22,219,71,3
538281,Kaliště,219,145,144,0,1,4,0,20,0,0,10,3,3,20,7,0
538299,Kamenice,3334,2271,2254,0,2,96,2,411,15,1,184,46,50,346,103,5
564974,Káraný,604,405,400,0,0,13,0,85,5,0,15,4,6,62,17,0
538311,Klecany,2453,1617,1609,1,1,78,3,253,8,0,157,31,30,313,57,0
538329,Klíčany,269,166,166,0,1,13,1,29,3,0,6,1,1,23,8,0
513628,Klokočná,205,153,153,0,3,10,0,29,1,0,12,1,3,21,3,1
531553,Konětopy,236,152,152,0,0,2,0,32,5,0,11,1,1,12,13,0
564761,Konojedy,185,116,116,0,0,4,0,11,1,0,7,2,1,32,3,1
533416,Kostelec nad Černými lesy,2840,1806,1805,3,0,141,1,289,10,1,125,22,31,223,96,9
538370,Kostelec u Křížků,541,396,394,0,0,15,1,65,2,0,42,6,4,65,17,2
536130,Kostelní Hlavno,351,233,233,1,1,20,3,31,2,0,9,1,2,30,11,0
533432,Kozojedy,638,469,467,0,0,22,0,82,3,0,48,11,1,78,19,2
534960,Křenek,213,134,134,1,0,5,0,26,1,0,5,3,0,13,11,3
564991,Křenice,520,399,392,1,1,8,1,101,2,0,34,13,1,69,18,3
538418,Křížkový Újezdec,163,130,129,1,1,4,0,43,1,0,7,2,0,11,1,0
538426,Kunice,1049,783,776,0,0,19,1,154,4,0,56,10,8,131,28,1
564982,Květnice,1053,809,805,0,0,17,2,184,5,1,53,14,18,120,43,3
538914,Lázně Toušeň,1039,674,671,1,1,40,1,107,5,0,37,12,6,105,33,2
534986,Lhota,356,253,252,0,0,5,0,62,2,0,11,10,1,31,16,1
538442,Líbeznice,1763,1245,1235,1,0,50,1,431,1,0,63,24,19,157,41,0
538451,Louňovice,805,621,619,1,2,17,0,110,1,0,48,24,9,102,21,0
538469,Máslovice,300,224,222,0,0,21,0,16,2,0,24,3,3,31,16,0
538477,Měšice,1405,944,933,2,0,40,2,216,5,1,43,10,9,142,44,0
538485,Mirošovice,904,641,639,1,1,14,3,103,5,0,71,13,2,123,17,0
538493,Mnichovice,2688,1941,1933,0,4,80,4,309,11,0,284,39,34,270,77,6
598267,Modletice,356,219,219,0,0,13,0,30,2,0,28,2,4,40,4,0
538507,Mochov,784,505,504,1,0,25,1,71,1,0,27,6,6,60,29,15
538515,Mratín,898,599,599,0,0,28,0,140,2,0,26,13,11,69,40,0
538523,Mukařov,1736,1279,1265,1,2,55,2,231,8,3,145,26,27,151,60,6
538540,Nehvizdy,1893,1308,1304,0,1,49,1,237,4,0,78,32,14,170,60,20
538558,Nová Ves,849,588,587,0,1,18,1,131,5,0,27,8,14,101,22,4
538566,Nový Vestec,358,258,258,0,0,14,0,54,1,2,16,1,0,37,9,0
533548,Nučice,306,201,199,0,0,19,0,14,0,0,28,5,5,24,12,2
564907,Nupaky,922,619,617,0,0,15,1,77,0,0,53,10,4,124,31,1
538574,Odolena Voda,4373,2875,2851,1,1,194,4,369,31,2,178,41,56,468,199,7
533564,Oleška,761,460,459,0,0,31,1,34,3,0,28,5,4,44,37,0
538582,Ondřejov,1205,853,852,0,1,44,2,135,13,2,108,11,13,94,17,1
571679,Oplany,84,57,57,0,0,4,0,9,0,0,7,1,0,13,3,0
538604,Panenské Břežany,418,276,275,0,0,10,2,63,3,0,22,5,5,41,8,1
529656,Pětihosty,166,123,121,0,0,2,0,21,3,0,14,6,3,9,2,0
538612,Petříkov,412,285,284,0,0,19,0,53,1,0,29,3,6,45,18,0
538621,Podolanka,431,287,286,0,0,17,1,32,3,1,17,4,4,39,12,0
538639,Polerady,204,109,107,0,0,3,1,13,1,0,8,4,2,14,4,0
599221,Popovičky,265,193,192,0,1,3,1,32,0,0,14,7,2,23,5,0
564788,Prusice,61,42,42,0,0,4,0,5,0,0,4,0,0,3,1,0
538655,Předboj,658,454,446,0,0,12,1,96,1,1,40,9,3,76,23,1
538671,Přezletice,1103,842,841,0,0,38,3,186,10,0,53,16,10,133,35,0
538698,Radějovice,324,245,244,1,0,5,0,58,2,0,14,4,1,44,12,0
538701,Radonice,705,491,485,1,0,36,0,104,3,0,45,6,7,66,17,0
538728,Říčany,11198,7967,7926,7,4,291,15,1393,51,3,820,127,149,1332,344,16
598283,Sedlec,237,198,197,0,0,5,0,44,1,0,13,5,8,28,12,0
538752,Senohraby,927,697,693,0,1,39,0,132,5,2,62,18,12,110,32,3
538761,Sibřina,571,374,373,0,0,12,4,77,1,0,22,2,2,63,20,1
538779,Sluhy,539,353,352,1,0,11,2,63,1,0,22,4,2,44,6,1
538787,Sluštice,376,260,257,0,0,13,2,39,2,0,12,4,3,44,15,5
538809,Strančice,1700,1194,1184,1,0,68,2,185,2,0,108,24,13,226,50,2
538825,Struhařov,657,454,447,0,0,18,1,79,3,0,45,5,6,84,23,2
533718,Stříbrná Skalice,1072,675,674,2,0,34,0,87,4,0,61,15,8,114,35,0
571954,Sudovo Hlavno,393,239,239,2,0,13,0,38,1,0,20,1,2,23,13,0
538833,Sulice,1325,1031,1019,1,0,37,1,226,6,0,67,16,17,155,34,1
598305,Svémyslice,289,214,213,0,0,9,1,50,0,0,17,1,1,27,12,0
538841,Světice,892,677,662,0,0,27,2,103,6,0,57,14,9,99,31,0
538850,Svojetice,747,535,531,1,0,28,0,98,3,0,43,11,14,100,18,0
538876,Šestajovice,2479,1832,1827,0,4,36,2,448,4,1,151,36,21,254,73,2
538884,Škvorec,1171,799,796,1,1,28,2,159,6,1,56,14,13,121,38,2
571644,Štíhlice,144,94,93,0,0,8,0,9,0,0,11,1,0,12,6,0
538892,Tehov,648,455,452,0,0,18,2,91,6,0,35,3,9,86,16,0
599719,Tehovec,476,339,337,0,0,17,0,91,5,0,22,6,6,35,9,1
538957,Úvaly,4788,3386,3370,6,4,124,4,579,14,2,330,64,50,528,201,3
538965,Veleň,945,670,665,1,0,21,2,125,2,1,37,23,7,98,31,1
538973,Veliká Ves,241,147,145,0,0,9,2,32,0,0,6,3,1,20,8,0
538981,Velké Popovice,1972,1343,1329,0,0,60,6,242,11,0,133,21,16,144,57,2
538990,Větrušice,455,315,314,1,0,20,1,36,5,0,20,8,8,44,23,5
533874,Vlkančice,172,120,119,0,0,7,0,20,2,0,16,3,1,11,6,0
539015,Vodochody,457,284,282,0,1,25,0,37,6,0,13,2,2,40,14,1
539031,Všestary,626,438,434,0,1,24,1,80,2,0,41,4,3,68,14,0
539040,Vyšehořovice,501,325,322,0,0,33,0,28,1,0,14,2,2,55,6,7
564796,Výžerky,116,74,74,1,0,5,0,6,1,0,4,2,0,7,5,0
533904,Vyžlovka,503,376,375,2,0,13,3,65,3,0,36,2,7,48,5,2
505781,Zápy,579,376,375,1,0,23,0,61,3,2,26,6,4,50,28,3
535362,Záryby,721,477,473,0,0,34,0,85,5,0,28,4,2,53,20,1
539058,Zdiby,2277,1632,1623,0,1,48,5,316,5,0,102,38,23,280,72,0
539066,Zeleneč,2075,1543,1535,1,1,47,1,284,5,1,130,35,21,254,40,3
513644,Zlatá,222,162,162,0,0,6,0,29,0,0,10,2,3,26,7,0
539082,Zlonín,427,300,299,7,0,9,0,66,5,0,10,24,4,38,15,2
539091,Zvánovice,430,316,314,0,0,22,0,56,7,0,38,4,5,30,8,0
